,company,year,doc_id,date,similarity,rescaled_similarity,rescaled_similarity_lagged,num_disc
0,AAL,2019,0000004515,2019-12-31,0.9476297005809928,0.14584143852521203,,4
1,AAP,2019,0001158449,2019-12-28,0.9586870895282436,0.19007099431421492,,4
2,ABBV,2019,0001551152,2019-12-31,0.9457975988164699,0.13851303146712013,,4
3,ABT,2019,0000001800,2019-12-31,0.9447268710958859,0.13423012058478445,,4
4,ADBE,2019,0000796343,2019-11-29,0.9588308560381585,0.19064606035387488,,4
5,ADM,2019,0000007084,2019-12-31,0.9512651651930132,0.16038329697329345,,4
6,ADS,2019,0001101215,2019-12-31,0.9420798750447642,0.12364213638029753,,4
7,AEE,2019,0000018654,2019-12-31,0.9304449935260132,0.07710261030529342,,4
8,AEP,2019,0000004904,2019-12-31,0.9425966652486113,0.1257092971956859,,5
9,AES,2019,0000874761,2019-12-31,0.9474486634781324,0.14511729011377028,,4
10,AFL,2019,0000004977,2019-12-31,0.950007439794969,0.1553523953811169,,4
11,AGN,2019,0001578845,2019-12-31,0.9428140270384656,0.1265787443551032,,4
12,AIG,2019,0000005272,2019-12-31,0.9425263932959976,0.12542820938523125,,4
13,AIV,2019,0000922864,2019-12-31,0.9516707237208074,0.16200553108447036,,5
14,AIZ,2019,0001267238,2019-12-31,0.9497610478393224,0.15436682755853015,,4
15,AJG,2019,0000354190,2019-12-31,0.9501061442318796,0.15574721312875894,,4
16,AKAM,2019,0001086222,2019-12-31,0.9629208804005077,0.20700615780327158,,4
17,ALB,2019,0000915913,2019-12-31,0.9522047447802352,0.16414161532218152,,6
18,ALK,2019,0000766421,2019-12-31,0.9528647335813327,0.1667815705265716,,4
19,ALL,2019,0000899051,2019-12-31,0.9489743083649681,0.15121986966111312,,4
20,ALLE,2019,0001579241,2019-12-31,0.9513131796891603,0.1605753549578819,,4
21,ALXN,2019,0000899866,2019-12-31,0.9418056752290038,0.12254533711725601,,4
22,AME,2019,0001037868,2019-12-31,0.9475497825936445,0.14552176657581883,,4
23,AMG,2019,0001004434,2019-12-31,0.9488316836222829,0.1506493706903722,,4
24,AMGN,2019,0000318154,2019-12-31,0.9386202378723475,0.1098035876906307,,4
25,AMP,2019,0000820027,2019-12-31,0.9513773268853086,0.16083194374247523,,4
26,AMT,2019,0001053507,2019-12-31,0.9438585768739904,0.13075694369720248,,4
27,AMZN,2019,0001018724,2019-12-31,0.9521547343677713,0.16394157367232598,,4
28,AN,2019,0000350698,2019-12-31,0.9474933017219231,0.14529584308893329,,4
29,ANTM,2019,0001156039,2019-12-31,0.942759192548077,0.12635940639354892,,4
30,AON,2019,0000315293,2019-12-31,0.9537011220950662,0.17012712458150547,,4
31,APA,2019,0000006769,2019-12-31,0.9323771854331462,0.08483137793382545,,4
32,APH,2019,0000820313,2019-12-31,0.9435198266918108,0.12940194296848384,,4
33,ARNC,2019,0000004281,2019-12-31,0.9492916916207269,0.15248940268414835,,4
34,ATVI,2019,0000718877,2019-12-31,0.9588636397928014,0.19077719537244642,,4
35,AVB,2019,0000915912,2019-12-31,0.9528493830429509,0.16672016837304415,,4
36,AVY,2019,0000008818,2019-12-28,0.9515967408665407,0.1617095996674034,,5
37,AWK,2019,0001410636,2019-12-31,0.943264853041485,0.1283820483671807,,4
38,AXP,2019,0000004962,2019-12-31,0.9533607503471193,0.16876563758971797,,4
39,BA,2019,0000012927,2019-12-31,0.9380641664696859,0.10757930207998445,,4
40,BAC,2019,0000070858,2019-12-31,0.9486523697165252,0.1499321150673416,,4
41,BAX,2019,0000010456,2019-12-31,0.9410652772361584,0.11958374514587433,,4
42,BBT,2019,0000092230,2019-12-31,0.952961834810572,0.16716997544352852,,3
43,BHI,2019,0000808362,2019-12-31,0.9514747915186924,0.16122180227601035,,4
